Marca temporal,¿Acepta la política de privacidad indicada arriba?,Nombre del proyecto:,coordinates,Ecosistema al que pertenece:,"¿Tiene su empresa página web? Sí tiene web indique la URL y si no tiene, indique que no tiene web",¿Ha constituido su empresa?,¿En qué fecha fue constituida su empresa?,technology_count,technology_lb_cost,"Desde su constitución, ¿su empresa ha cerrado o cesado su actividad?","Si su respuesta es SÍ, ¿en qué fecha cesó su actividad?",¿Cuánto facturó en los últimos 3 meses de actividad? (cantidad en Euros),¿Cuál ha sido el número medio de clientes  en los últimos 3 meses de actividad? ,"¿Entre los clientes de los últimos 3 meses de actividad, cuántos han sido recurrentes? (Indicar nº) ",¿Cuánto facturó en los últimos 12 meses? (Cantidad en Euros),¿Cuál ha sido el número medio de clientes  en los últimos 12 meses? ,"¿Entre los clientes de los últimos 3 meses, cuántos han sido recurrentes? (Indicar nº) ",Indicar nº de empleados al iniciar el programa,Indicar nº de empleados al finalizar el programa?,Indicar nº de mujeres cofundadoras en el equipo,¿Cuántos empleados han sido contratados en los últimos tres meses de actividad?,¿Cuántos empleados han dejado la empresa en los últimos tres meses de actividad?,¿Se ha presentado a rondas de financiación?,"En caso de no haberse presentado a una ronda de financiación y si lo desea, proporcione una razón por la que no se ha presentado a ninguna ronda de financiación",¿En cuántas rondas de financiación se ha presentado?,¿Cuándo se presentó a esas rondas de financiación? (Indicar fechas),round_over,¿Cuánto capital se ha levantado gracias  a las rondas de financiación a las que se ha presentado?,¿Ha recibido la empresa apoyo en algún programa de aceleración que no sea APTENISA?,¿En cuántos programas ha participado? Indique el número,Si lo desea proporcione el nombre de esos programas de aceleración
8/03/2023 19:48:45,Sí,InferIA,"38.371737597382854, -0.49787975371037096",9. Parque Científico de Alicante,https://www.inferia.io/,No,,,,,,,,,,,,,,,,,No,"Hablando en Transfiere con ciertos inversores, nos dijeron que teníamos que afinar mejor el segmento de clientes y asegurarnos qué haya gente dispuesta a compra nuestro producto, porque es algo muy innovador y no tenían claro cual sería la acogida.",,,,,No,,
8/03/2023 22:42:09,Sí,EasyChatbot.net,"36.69925958831769, -4.438900826824749",3. Málaga TechPark,https://eu.easychatbot.net/,Sí,2/12/2022,16,0,No,,0,0,0,,,,0,0,1,0,0,No,Todavía estamos conociendo a inversores,,,,,Sí,3,"Aptenisa, Andalucia Open Future y La Brújula"
8/03/2023 23:12:02,Sí,AHYRES,"40.354498215837005, -3.7444578874948853",4. Fundación Parque Científico de Madrid,https://ahyres.com/,Sí,5/07/2022,40,1000,No,,15000,1,0,,,,2,4,0,2,0,No,"No era el momento, si bien en la actualidad si nos encontramos preparando una ronda de financiación.",,,,,Sí,2,Business Factory Aero (Galicia) y Connecting Energy (Naturgy)
9/03/2023 9:02:19,Sí,Visutrain,"38.39193560846591, -0.5173669269307712",9. Parque Científico de Alicante,https://infovisutrain.wixsite.com/visutrain,No,,20,0,,,,,,,,,,,,,,No,Estamos obteniendo ahora financiación pública,,,,,No,,
9/03/2023 10:07:24,Sí,Doti,"40.42267390907913, -3.694825687440891",4. Fundación Parque Científico de Madrid,Www.dotiapp.es,Sí,28/12/2022,51,10,No,,0,1,0,,,,0,2,0,2,1,No,Creemos que todavía no tenemos métricas suficientes,,,,,Sí,1,Programa Camaratech 
9/03/2023 10:44:23,Sí,Fibras Naturales Canarias ,"28.161895101502658, -15.692841708750885",8. Parque Tecnológico de las Palmas de Gran Canaria,www.fibrasnaturalescanarias.com,Ya estaba constituida,2/04/2019,44,100,,,,,,600,2,1,0,0,0,0,0,Sí,,1,20/01/23,No,0,Sí,3,Get impulse ; Explorer 
9/03/2023 11:11:27,Sí,ARTIS Development - FocusedON,"28.132179238174537, -15.443034899730723",8. Parque Tecnológico de las Palmas de Gran Canaria,www.artisdevelopment.com,Ya estaba constituida,15/12/2022,15,0,,,,,,18500,2,1,0,1,0,0,0,No,"Aún no nos hemos presentado a ninguna ronda de financiación por varios motivos. En primer lugar, estamos trabajando en la redacción de nuestro modelo de negocio al ser un documento que hemos identificado que vamos a necesitar cuando estemos en una ronda. No queremos empezar una sin tener ese documento preparado para que si despertamos interés de un inversor no tenga que esperar a que lo redactemos si lo necesita. En segundo lugar, en los próximos meses esperamos dar pasos importantes en la empresa: conseguir la ISO 13485 de calidad, primer informe de la solicitud de patente presentada, acuerdo oficial con un Instituto de investigación, más ventas del software para investigación, incorporación de personal clave. Creemos que esto hará que la empresa aumente su valor y la haga mucho más atractiva a la hora de invertir de lo que es ahora.",,,,,No,,
9/03/2023 12:05:03,Sí,Bibagu,"43.29174323558417, -1.9844522881862787",1. Garaia Parque Tecnológico,www.bibagu.com,Ya estaba constituida,2/02/2022,69,250,,,,,,34700,4,4,4,5,0,1,0,Sí,,1,15/01/23,No,0,Sí,2,"Bic Gipuzkoa, Ekin + de Fomento SS"
9/03/2023 16:50:47,No,Genbioma Aplicaciones SL,"42.774623167448645, -1.6360444272102719",1. Garaia Parque Tecnológico,https://www.genbioma.com/,Sí,9/06/2019,19,0,No,,0,0,0,,,,5,5,2,0,0,Sí,,2,15/10/22,Yes,2000000,Sí,1,EIT FAN
10/03/2023 13:03:20,Sí,Ecofibral,"38.37427440741899, -0.49813608731385695",9. Parque Científico de Alicante,No,No,,,,,,,,,,,,,,,,,No,Ya tenemos la financiación necesaria,,,,,No,,
